phrase,phrase_type,lex_class,lex_class_name,ref_source,ref_source_name
-an,r,bt,Bentuk terikat,KBBI3,KBBI III
-anda,a,bt,Bentuk terikat,KBBI3,KBBI III
-asi,a,bt,Bentuk terikat,KBBI3,KBBI III
-da,a,bt,Bentuk terikat,KBBI3,KBBI III
-el-,r,bt,Bentuk terikat,KBBI3,KBBI III
-em-,a,bt,Bentuk terikat,KBBI3,KBBI III
-er-,a,bt,Bentuk terikat,KBBI3,KBBI III
-i,r,bt,Bentuk terikat,KBBI3,KBBI III
-iah,a,bt,Bentuk terikat,KBBI3,KBBI III
-if,a,bt,Bentuk terikat,KBBI3,KBBI III
-is,a,bt,Bentuk terikat,KBBI3,KBBI III
-isasi,a,bt,Bentuk terikat,KBBI3,KBBI III
-isme,r,bt,Bentuk terikat,KBBI3,KBBI III
-itas,a,bt,Bentuk terikat,KBBI3,KBBI III
-kah,r,bt,Bentuk terikat,KBBI3,KBBI III
-kan,r,bt,Bentuk terikat,KBBI3,KBBI III
-lah,r,bt,Bentuk terikat,KBBI3,KBBI III
-man,a,bt,Bentuk terikat,KBBI3,KBBI III
-mu,r,bt,Bentuk terikat,KBBI3,KBBI III
-nda,a,bt,Bentuk terikat,KBBI3,KBBI III
-ni,r,bt,Bentuk terikat,KBBI3,KBBI III
-nya,r,bt,Bentuk terikat,KBBI3,KBBI III
-wan,a,bt,Bentuk terikat,KBBI3,KBBI III
-wati,a,bt,Bentuk terikat,KBBI3,KBBI III
-wi,r,bt,Bentuk terikat,KBBI3,KBBI III
-wiah,a,bt,Bentuk terikat,KBBI3,KBBI III
A,r,n,Nomina,KBBI3,KBBI III
a-,a,bt,Bentuk terikat,KBBI3,KBBI III
ab,r,n,Nomina,KBBI3,KBBI III
ab-,r,bt,Bentuk terikat,KBBI3,KBBI III
aba,r,n,Nomina,KBBI3,KBBI III
aba-aba,r,n,Nomina,KBBI3,KBBI III
abad,r,n,Nomina,KBBI3,KBBI III
abad,r,n,Nomina,KBBI3,KBBI III
abad,r,n,Nomina,KBBI3,KBBI III
abad,r,n,Nomina,KBBI3,KBBI III
abad,r,n,Nomina,KBBI3,KBBI III
abadi,r,adj,Adjektiva,KBBI3,KBBI III
abadiah,r,n,Nomina,KBBI3,KBBI III
abah,r,n,Nomina,KBBI3,KBBI III
abah-abah,d,n,Nomina,KBBI3,KBBI III
abah-abah,d,n,Nomina,KBBI3,KBBI III
abah-abah,d,n,Nomina,KBBI3,KBBI III
abah-abah,d,n,Nomina,KBBI3,KBBI III
abai,r,adj,Adjektiva,KBBI3,KBBI III
abaian,d,n,Nomina,KBBI3,KBBI III
abaimana,r,n,Nomina,KBBI3,KBBI III
abaka,r,n,Nomina,KBBI3,KBBI III
abaktinal,r,adj,Adjektiva,KBBI3,KBBI III
abakus,r,n,Nomina,KBBI3,KBBI III
